Order No,Order Type,Entry Type,Order Date,Config ID,Is MTO,Createts,Draft Order Flag
330592547443,PHONEORDER,CCA,2023-02-28 10:16:41,9945974-V1-CP-34,Y,2023-02-28 12:26:34,Y
330613790659,PHONEORDER,CCA,2023-03-02 06:31:30,9939876-V1-PN,Y,2023-03-02 06:32:09,Y
330672350502,PHONEORDER,CCA,2023-03-08 10:04:20,7316599-V1-UN-PP,Y,2023-03-08 10:04:47,Y
330672350502,PHONEORDER,CCA,2023-03-08 10:04:20,7316599-V1-UN-PS,Y,2023-03-08 10:04:47,Y
330672862803,PHONEORDER,CCA,2023-03-08 07:50:45,6279303-V1-OB-48-2966524,Y,2023-03-08 07:50:59,Y
330793954679,PAPERORDER,CCA,2023-03-20 13:12:20,3082878-V1-CP-BC,Y,2023-03-20 13:13:03,Y
330803534297,PHONEORDER,CCA,2023-03-21 13:39:58,1341059-V1-OB-PS-2375-ST,Y,2023-03-21 13:59:55,Y
330813107472,PHONEORDER,CCA,2023-03-22 16:30:22,7938663-V1-CP-8236562,Y,2023-03-22 16:30:49,Y
330912007029,PAPERORDER,CCA,2023-04-01 11:25:05,2863510-V1-OB-9716840,Y,2023-04-01 11:34:24,Y
330912007029,PAPERORDER,CCA,2023-04-01 11:25:05,7667289-V1-OB-3198412,Y,2023-04-01 11:34:24,Y
330912007029,PAPERORDER,CCA,2023-04-01 11:25:05,7667289-V1-OB-4036796,Y,2023-04-01 11:34:24,Y
331132136606,PHONEORDER,CCA,2023-04-23 07:49:02,3115814-V1-OB-5708829,Y,2023-04-23 09:59:29,Y
331132136606,PHONEORDER,CCA,2023-04-23 07:49:02,6481059-V1-OB-28,Y,2023-04-23 09:59:29,Y
331132136606,PHONEORDER,CCA,2023-04-23 07:49:02,8435732-V1-OB-38-9203461,Y,2023-04-23 09:59:29,Y
331140128579,PHONEORDER,CCA,2023-04-24 10:37:25,3115814-V1-CP-5708829,null,2023-04-24 10:37:26,Y
331740967434,PHONEORDER,CCA,2023-06-23 13:53:21,2935640-V1-CP-24-539896,null,2023-06-23 13:53:22,Y
331773857635,PAPERORDER,CCA,2023-06-26 09:00:36,9832843-V1-UD-OB-34,Y,2023-06-26 09:03:25,Y
331803634962,PHONEORDER,CCA,2023-06-29 12:04:14,5601700-V1-BD-TBCM-48,Y,2023-06-29 12:04:36,Y
331943580489,PHONEORDER,CCA,2023-07-13 07:08:49,6279303-V1-OB-16-2966524,Y,2023-07-13 07:09:14,Y
332002077243,PHONEORDER,CCA,2023-07-19 15:53:02,6525917-V1-OB-48-1981212,Y,2023-07-19 15:56:12,Y
332002077243,PHONEORDER,CCA,2023-07-19 15:53:02,9296847-V1-OL-7056298,Y,2023-07-19 15:56:12,Y
332003261424,PHONEORDER,CCA,2023-07-19 13:36:46,6525917-V1-UN-42-1981212,Y,2023-07-19 13:37:45,Y
332072656488,PHONEORDER,CCA,2023-07-26 13:12:15,1972903-V1-OB-3122334,Y,2023-07-26 13:14:11,Y
332072656488,PHONEORDER,CCA,2023-07-26 13:12:15,6419638-V1-OB-28,Y,2023-07-26 13:14:11,Y
332092980942,PHONEORDER,CCA,2023-07-28 10:56:41,129712-V1-18-3864313,Y,2023-07-28 11:07:05,Y
332092980942,PHONEORDER,CCA,2023-07-28 10:56:41,263729-V1-444581,Y,2023-07-28 11:07:05,Y
332102570154,PHONEORDER,CCA,2023-07-29 07:41:28,7667289-V1-OB-1631280,Y,2023-07-29 07:42:27,Y
332133176690,PHONEORDER,CCA,2023-08-01 15:39:28,2863510-V1-CP-5102540,Y,2023-08-01 15:57:16,Y
332142332011,PHONEORDER,CCA,2023-08-02 07:09:37,3713974-V1-OL-26-7463067,Y,2023-08-02 07:09:50,Y
332172832112,PHONEORDER,CCA,2023-08-05 14:31:46,6337365-V1-OB-8397875,Y,2023-08-05 14:32:15,Y
332213945089,PHONEORDER,CCA,2023-08-09 09:15:34,8475100-V1-OB-WH-47-HB,Y,2023-08-09 09:30:33,Y
332282093274,PHONEORDER,CCA,2023-08-16 14:16:20,2175804-V1-OB,Y,2023-08-16 14:18:15,Y
332282093274,PHONEORDER,CCA,2023-08-16 14:16:20,3148722-V1-OB-44-9716840,Y,2023-08-16 14:18:15,Y
332323634649,PHONEORDER,CCA,2023-08-20 12:16:18,4130821-V1-OL-9822096,Y,2023-08-20 12:16:43,Y
332323711116,PHONEORDER,CCA,2023-08-20 07:25:52,4130821-V1-OL-9822096,Y,2023-08-20 07:26:23,Y
332342813133,PHONEORDER,CCA,2023-08-22 06:59:40,6279303-V1-OB-16-2966524,Y,2023-08-22 07:01:07,Y
332342950422,PHONEORDER,CCA,2023-08-22 09:50:46,9902700-V1-NW-OB-34,Y,2023-08-22 09:51:03,Y
332343719545,PAPERORDER,CCA,2023-08-22 14:13:07,6176386-V1-OB-PS,Y,2023-08-22 14:14:08,Y
332433609143,PHONEORDER,CCA,2023-08-31 14:54:33,2863510-V1-BA-9716840,Y,2023-08-31 10:14:32,Y
332560527779,PHONEORDER,CCA,2023-09-13 09:12:11,3567269-V1-BN-4281470,null,2023-09-13 09:12:12,Y
332560527779,PHONEORDER,CCA,2023-09-13 09:12:11,9296847-V1-CP-9817615,null,2023-09-13 09:12:12,Y
332700762658,PHONEORDER,CCA,2023-09-27 07:41:50,470396-V1-OB-7727872,null,2023-09-27 07:41:50,Y
332720819181,PHONEORDER,CCA,2023-09-29 07:37:56,1596918-V1-OB-80-940563,null,2023-09-29 07:37:56,Y
332790740739,PHONEORDER,CCA,2023-12-21 12:35:05,1449378-V1-OB-24,null,2023-10-06 09:11:55,Y
332823853277,PHONEORDER,CCA,2023-10-09 10:24:20,9365615-V1-OL-41-1027220,Y,2023-10-09 10:24:48,Y
332823853277,PHONEORDER,CCA,2023-10-09 10:24:20,9365615-V1-OL-46-1027220,Y,2023-10-09 10:24:48,Y
332823853277,PHONEORDER,CCA,2023-10-09 10:24:20,9365615-V1-OL-64-1027220,Y,2023-10-09 10:24:48,Y
332843405090,PHONEORDER,CCA,2023-10-11 13:23:26,8525092-V1-OB,Y,2023-10-11 13:24:37,Y
332982937812,PHONEORDER,CCA,2023-10-25 13:44:59,1277712-V1-OB-42,Y,2023-10-25 13:45:37,Y
332982937812,PHONEORDER,CCA,2023-10-25 13:44:59,939252-V1-OB,Y,2023-10-25 13:45:37,Y
333187236703,PHONEORDER_G_CA,CCA,2023-11-14 15:56:12,4130821-V1-PN-1188048,Y,2023-11-14 15:58:20,Y
333193423147,PHONEORDER,CCA,2023-11-15 14:35:57,4927623-V1-BN-7006726,Y,2023-11-15 14:36:30,Y
333193761124,PHONEORDER,CCA,2023-11-15 09:14:37,6525917-V1-CP-38-6914192,Y,2023-11-15 09:16:38,Y
333252569558,PHONEORDER,CCA,2023-11-21 12:59:31,1113050-V1-PN-5343957,Y,2023-11-21 12:59:44,Y
333252569558,PHONEORDER,CCA,2023-11-21 12:59:31,1805318-V1-OB-4036796,Y,2023-11-21 12:59:44,Y
333252569558,PHONEORDER,CCA,2023-11-21 12:59:31,6525917-V1-PN-21-6914192,Y,2023-11-21 12:59:44,Y
333252569558,PHONEORDER,CCA,2023-11-21 12:59:31,6761679-V1-OB-27-2906078,Y,2023-11-21 12:59:44,Y
333296924421,PHONEORDER_G_CA,CCA,2023-11-25 11:35:10,2727599-V1-CP-54,Y,2023-11-25 11:35:19,Y
333402345842,PHONEORDER,CCA,2023-12-06 14:44:09,5090726-V1-OB-OB-2375,Y,2023-12-06 14:44:53,Y
340090354044,PHONEORDER,CCA,2024-03-13 10:38:36,320790-V1-OL-48-1027220,null,2024-01-09 13:23:35,N
340370940744,PHONEORDER,CCA,2024-02-06 10:26:52,1449378-V1-CP-24,null,2024-02-06 10:26:52,Y
340390064616,PHONEORDER,CCA,2024-02-08 10:03:26,8491923-V1-OB-24-6786210,null,2024-02-08 10:03:26,Y
340570307223,PHONEORDER,CCA,2024-02-26 17:13:16,2727599-V1-OB-32,null,2024-02-26 17:13:16,Y
340580546612,PHONEORDER,CCA,2024-02-27 16:06:15,2459673-V1-BA-2329222,null,2024-02-27 16:06:16,Y
340590843074,PHONEORDER,CCA,2024-06-07 06:24:59,5492169-V1-OB-74,null,2024-02-28 10:29:19,Y
340640128856,PHONEORDER,CCA,2024-05-07 15:54:24,9902700-V1-UD-OB-34,null,2024-03-04 10:54:09,N
340670948793,PHONEORDER,CCA,2024-03-07 12:38:22,8947662-V1-OB-48,null,2024-03-07 12:38:22,Y
340930924014,PAPERORDER,CCA,2024-04-02 16:04:11,3312180-V1-OB-144382,null,2024-04-02 16:04:11,Y
340930924014,PAPERORDER,CCA,2024-04-02 16:04:11,8933295-V1-OB-8066786,null,2024-04-02 16:04:11,Y
341010895140,PHONEORDER,CCA,2024-05-23 08:47:37,5957877-V1-UN-2700K-6373608,null,2024-04-10 10:42:36,Y
341172885889,PHONEORDER,CCA,2024-04-26 08:05:39,2403585-V1-CP-36-4858896,Y,2024-04-26 08:06:22,Y
341172885889,PHONEORDER,CCA,2024-04-26 08:05:39,9274079-V1-BD-35-1094000,Y,2024-04-26 08:06:22,Y
341300761069,PHONEORDER,CCA,2024-05-09 13:47:17,3428032-V1-GT-CW-120-3000K,null,2024-05-09 13:47:18,Y
341310257108,PHONEORDER,CCA,2024-05-10 16:22:38,2502597-V1-OL-30,null,2024-05-10 16:22:39,Y
341310271224,PHONEORDER,CCA,2024-05-10 12:38:03,1972903-V1-BN-1531050,null,2024-05-10 12:38:04,Y
