Error Code,Error Description,Reason
YCM90_001,16536,UNIQUE DESCRIPTION
java.lang.StringIndexOutOfBoundsException,12266,UNIQUE DESCRIPTION
java.lang.ArithmeticException,10494,UNIQUE DESCRIPTION
WSI_MOT_DATES_MONITOR_ERROR_0001,7191,UNIQUE DESCRIPTION
WSI_PAYMENT_PROCESSING_0032,6265,UNIQUE DESCRIPTION
org.w3c.dom.DOMException,3298,UNIQUE DESCRIPTION
Service not configured for EOF message,2034,UNIQUE DESCRIPTION
WSI_MOT_DATES_MONITOR_ERROR_0002,969,UNIQUE DESCRIPTION
VAS00049,861,UNIQUE DESCRIPTION
IDS0034,256,UNIQUE DESCRIPTION
IDS0034,384,UNIQUE DESCRIPTION
java.lang.NullPointerException: PrimarySupplier (Item/PrimaryInformation/@PrimarySupplier)is Mandatory to get Organization Hierarchy Details,612,UNIQUE DESCRIPTION
CustomError001,444,UNIQUE DESCRIPTION
YDM00200,114,UNIQUE DESCRIPTION
ContainerNo not provided in FinalMileDeliveryUpdate Message,76,UNIQUE DESCRIPTION
OMP11054,12,UNIQUE DESCRIPTION
WSI_RETURN_ORDER_0018,3249,UNIQUE DESCRIPTION
