Error Code,Error Description,Reason
YCM90_001,14683,UNIQUE DESCRIPTION
java.lang.ArithmeticException,8720,UNIQUE DESCRIPTION
java.lang.StringIndexOutOfBoundsException,4519,UNIQUE DESCRIPTION
WSI_MOT_DATES_MONITOR_ERROR_0001,4491,UNIQUE DESCRIPTION
org.w3c.dom.DOMException,3154,UNIQUE DESCRIPTION
WSI_MOT_DATES_MONITOR_ERROR_0002,2196,UNIQUE DESCRIPTION
Service not configured for EOF message,1832,UNIQUE DESCRIPTION
VAS00049,1045,UNIQUE DESCRIPTION
IDS0025,832,UNIQUE DESCRIPTION
WSI_FORCE_WO_DELIVERY_ERROR_0002,368,UNIQUE DESCRIPTION
CustomError001,267,UNIQUE DESCRIPTION
OVER_SHIPMENT_ERROR,255,UNIQUE DESCRIPTION
IDS0039,240,UNIQUE ERRORCODE
WSI_PAYMENT_PROCESSING_0032,180,UNIQUE DESCRIPTION
ShipmentUpdate.0005,162,UNIQUE DESCRIPTION
"checkIfDuplicateOrderExists -> The item, distro no combination exists 8945434 : ExtnCustomerOrderNo: 5000135227",UNIQUE DESCRIPTION
YDM00200,90,UNIQUE DESCRIPTION
YPM10016,84,UNIQUE DESCRIPTION
EXTN_DS0022,78,UNIQUE DESCRIPTION
WSI0001,72,UNIQUE DESCRIPTION
"checkIfDuplicateOrderExists -> The item, distro no combination exists 4922328 : ExtnCustomerOrderNo: 5000135227",UNIQUE DESCRIPTION
EXTN_DS0006,48,UNIQUE DESCRIPTION
"checkIfDuplicateOrderExists -> The item, distro no combination exists 1335606 : ExtnCustomerOrderNo: 5000135227",UNIQUE DESCRIPTION
Input XMLData for ConditionFlowComponent is Null,27,UNIQUE DESCRIPTION
"checkIfDuplicateOrderExists -> The item, distro no combination exists 2107090 : ExtnCustomerOrderNo: 5000135227",UNIQUE DESCRIPTION
"checkIfDuplicateOrderExists -> The item, distro no combination exists 7922671 : ExtnCustomerOrderNo: 5000135227",UNIQUE DESCRIPTION
java.lang.ArrayIndexOutOfBoundsException: -1,12,UNIQUE DESCRIPTION
"checkIfDuplicateOrderExists -> The item, distro no combination exists 8101971 : ExtnCustomerOrderNo: 5000135227",UNIQUE DESCRIPTION
"checkIfDuplicateOrderExists -> The item, distro no combination exists 9983240 : ExtnCustomerOrderNo: 5000135227",UNIQUE DESCRIPTION
WorkOrder is not in Valid Status for Processing PickUp Exception,4,UNIQUE ERRORCODE
WSIDROPSHIP2_00029,2,UNIQUE ERRORCODE
EXTN_DS0002,14528,UNIQUE DESCRIPTION
MEMBERSHIP_FULFILL_0005,2660,UNIQUE DESCRIPTION
