xml.error_code.keyword: Descending,Count,xml.error_description.keyword: Descending,Count
java.lang.NullPointerException,1162443,Error_description_not_available,1162443
YFC0101,164273,Lock timeout detected by the database.,164273
YFS10003,159978,YFS:Invalid Order,159978
Request Data Error,4,[L9] Item type is not defined correctly for line 9,4
Request Data Error,4,[L9] Item type doesn't qualify for $0 pricing for line 9,4
Request Data Error,6,[L9] Charge Spec is missing for line 9,6
Request Data Error,4,[L9] Cancelled quantity is a cumulative value and must be greater than or equal to the last cancelled quantity:4 for line 9,4
Request Data Error,4,[L9] Cancelled quantity is a cumulative value and must be greater than or equal to the last cancelled quantity:2 for line 9,4
Request Data Error,14,[L9] Cancelled quantity is a cumulative value and must be greater than or equal to the last cancelled quantity:1 for line 9,14
Request Data Error,4,"[L8] Item type is not defined correctly for line 8, [L7] Item type is not defined correctly for line 7",4
Request Data Error,8,[L8] Item type doesn't qualify for $0 pricing for line 8,8
Request Data Error,6,[L8] Charge Spec is missing for line 8,6
Request Data Error,10,[L8] Cancelled quantity is a cumulative value and must be greater than or equal to the last cancelled quantity:2 for line 8,10
Request Data Error,16,[L8] Cancelled quantity is a cumulative value and must be greater than or equal to the last cancelled quantity:1 for line 8,16
Request Data Error,12,[L800] The total of (invoiced + cancelled + to invoice) quantity cannot exceed the quoted quantity for line 800,12
Request Data Error,12,[L7] Item type is not defined correctly for line 7,12
Request Data Error,6,[L7] Cancelled quantity is a cumulative value and must be greater than or equal to the last cancelled quantity:3 for line 7,6
Request Data Error,6,[L7] Cancelled quantity is a cumulative value and must be greater than or equal to the last cancelled quantity:2 for line 7,6
Request Data Error,6,"[L7] Cancelled quantity is a cumulative value and must be greater than or equal to the last cancelled quantity:1 for line 7, [L1] Cancelled quantity is a cumulative value and must be greater than or equal to the last cancelled quantity:1 for line 1",6
Request Data Error,14,[L7] Cancelled quantity is a cumulative value and must be greater than or equal to the last cancelled quantity:1 for line 7,14
Request Data Error,4,[L71] Item type is not defined correctly for line 71,4
Request Data Error,8,[L6] Item type is not defined correctly for line 6,8
Request Data Error,4,"[L6] Item type doesn't qualify for $0 pricing for line 6, [L4] Item type doesn't qualify for $0 pricing for line 4, [L1] Item type doesn't qualify for $0 pricing for line 1",4
Request Data Error,6,[L6] Cancelled quantity is a cumulative value and must be greater than or equal to the last cancelled quantity:6 for line 6,6
Request Data Error,12,[L6] Cancelled quantity is a cumulative value and must be greater than or equal to the last cancelled quantity:4 for line 6,12
Request Data Error,8,"[L6] Cancelled quantity is a cumulative value and must be greater than or equal to the last cancelled quantity:1 for line 6, [L4] Cancelled quantity is a cumulative value and must be greater than or equal to the last cancelled quantity:1 for line 4",8
